Tenor,CUSIP,Description
1W,USOSFR1Z BGN Curncy,USOSFR1Z BGN Curncy
2W,USOSFR2Z BGN Curncy,USOSFR2Z BGN Curncy
3W,USOSFR3Z BGN Curncy,USOSFR3Z BGN Curncy
1M,USOSFRA BGN Curncy,USOSFRA BGN Curncy
2M,USOSFRB BGN Curncy,USOSFRB BGN Curncy
3M,USOSFRC BGN Curncy,USOSFRC BGN Curncy
4M,USOSFRD BGN Curncy,USOSFRD BGN Curncy
5M,USOSFRE BGN Curncy,USOSFRE BGN Curncy
6M,USOSFRF BGN Curncy,USOSFRF BGN Curncy
7M,USOSFRG BGN Curncy,USOSFRG BGN Curncy
8M,USOSFRH BGN Curncy,USOSFRH BGN Curncy
9M,USOSFRI BGN Curncy,USOSFRI BGN Curncy
10M,USOSFRJ BGN Curncy,USOSFRJ BGN Curncy
11M,USOSFRK BGN Curncy,USOSFRK BGN Curncy
12M,USOSFR1 BGN Curncy,USOSFR1 BGN Curncy
18M,USOSFR1F BGN Curncy,USOSFR1F BGN Curncy
2Y,USOSFR2 BGN Curncy,USOSFR2 BGN Curncy
3Y,USOSFR3 BGN Curncy,USOSFR3 BGN Curncy
4Y,USOSFR4 BGN Curncy,USOSFR4 BGN Curncy
5Y,USOSFR5 BGN Curncy,USOSFR5 BGN Curncy
6Y,USOSFR6 BGN Curncy,USOSFR6 BGN Curncy
7Y,USOSFR7 BGN Curncy,USOSFR7 BGN Curncy
8Y,USOSFR8 BGN Curncy,USOSFR8 BGN Curncy
9Y,USOSFR9 BGN Curncy,USOSFR9 BGN Curncy
10Y,USOSFR10 BGN Curncy,USOSFR10 BGN Curncy
12Y,USOSFR12 BGN Curncy,USOSFR12 BGN Curncy
15Y,USOSFR15 BGN Curncy,USOSFR15 BGN Curncy
20Y,USOSFR20 BGN Curncy,USOSFR20 BGN Curncy
25Y,USOSFR25 BGN Curncy,USOSFR25 BGN Curncy
30Y,USOSFR30 BGN Curncy,USOSFR30 BGN Curncy
40Y,USOSFR40 BGN Curncy,USOSFR40 BGN Curncy
50Y,USOSFR50 BGN Curncy,USOSFR50 BGN Curncy
